TransactionID,CustomerID,Category,Region,PaymentMethod,Status,OriginalPrice,DiscountType,DiscountAmount,FinalPrice,TransactionDate
689e7673-12bd-41dd-bdd7-ec04764a1ee6,c9ac6878-a517-4f4e-8bdc-5781a0f35683,Apparel,South America,Credit Card,Refunded,120.44,None,0.0,120.44,2025-02-24
cb7879b4-a461-43a9-b0b8-82aaef454df7,ab81e65d-7a82-4c4e-9786-49ba48363954,Apparel,Europe,PayPal,Returned,177.0,10OFF,17.7,159.3,2025-05-24
578c280e-624e-46c6-a144-5ca5c60bd618,ceb4785d-1619-4456-8348-e5ab2f97e10d,Apparel,North America,Credit Card,Completed,158.92,BOGO,79.46,79.46,2025-01-19
6429e593-f2bb-4764-8674-2ec1ccd483a3,739c8baf-79ee-4775-828d-fde7c8fe27f4,Electronics,Asia,PayPal,Completed,195.86,None,0.0,195.86,2025-02-23
7b85f3c8-d944-48ae-884a-811e526c4894,b5e2ccc4-bfaa-44a9-96fb-cb6e2be5316c,Beauty,North America,Credit Card,Completed,119.57,None,0.0,119.57,2025-04-23
6949ae0a-7e88-4456-906d-b9580793b894,873a5f64-330f-4a03-9037-9222a1ffce19,Apparel,South America,Debit Card,Completed,113.22,BOGO,56.61,56.61,2025-05-20
eb14ca0a-01e0-479e-bb72-7d2c1cec6b3c,e24b2d67-3dcc-4434-8611-a2374784b6e4,Apparel,Europe,Apple Pay,Completed,42.9,10OFF,4.29,38.61,2025-01-19
f94fcc64-637c-46d5-a85e-8c59d1889e41,91c57bef-fae3-4997-a904-b52fbc690e6d,Beauty,Europe,Debit Card,Completed,118.18,None,0.0,118.18,2025-03-14
7ed56739-2661-4848-8e01-26c2d8d91d38,8aa8923e-0c47-40d5-bb7f-f33792b82a9f,Electronics,South America,PayPal,Refunded,860.13,None,0.0,860.13,2024-12-25
d4b3bdc7-e924-46ca-b0ab-9a6a9ab3c3fc,6ff33dca-6d5d-4f43-8454-cb273ed63bab,Beauty,South America,PayPal,Refunded,81.82,FLASH15,12.27,69.55,2024-12-09
daffa7ba-485e-40da-aff7-5df7753e4f11,88751c9a-2801-4dc2-947c-9e6d529ab5d2,Beauty,Europe,Credit Card,Completed,127.74,10OFF,12.77,114.97,2025-01-29
cdf4c586-b0b5-46d4-9010-1371ff942fce,4468dd02-5178-4cd4-a7de-23ca6866b3f9,Electronics,Asia,PayPal,Completed,300.47,None,0.0,300.47,2024-12-24
3b431ab6-2025-47dc-a558-5ac2ccd5d89c,ffb047c7-cdd3-4ba7-b52e-552a23b91ad1,Home Goods,Australia,Credit Card,Refunded,388.39,None,0.0,388.39,2025-03-12
83982103-5bfb-4a3e-8a9b-5f2e7f2924e2,f070fb18-87a3-4772-afe7-932884acac31,Beauty,South America,Credit Card,Returned,51.07,LOYALTY20,10.21,40.86,2025-01-30
b098ee59-b627-4d21-845a-997821430412,9c20157f-6039-465d-a7d9-adc1a8ec4e35,Beauty,South America,Debit Card,Completed,85.09,FLASH15,12.76,72.33,2025-01-05
